Algorithm,ARI Score,Duration,Sample size,Root0,Root1,Root2
Agglomerative,0.5967059124239181,0.0015773773193359375,45,GO:0051128,GO:0097435,GO:0098662
DBSCAN,0.0,0.0023429393768310547,45,GO:0051128,GO:0097435,GO:0098662
HDBSCAN,0.23422167456669754,0.0039522647857666016,45,GO:0051128,GO:0097435,GO:0098662
K-Means,0.2300257536736858,0.009712696075439453,43,GO:0051128,GO:0097435,GO:0080135
Agglomerative,0.17934540265762955,0.001562356948852539,43,GO:0051128,GO:0097435,GO:0080135
DBSCAN,0.0,0.002321004867553711,43,GO:0051128,GO:0097435,GO:0080135
HDBSCAN,0.0,0.003589153289794922,43,GO:0051128,GO:0097435,GO:0080135
K-Means,0.5216347248885562,0.00971078872680664,47,GO:0051128,GO:1901565,GO:0098662
Agglomerative,0.5216347248885562,0.0016105175018310547,47,GO:0051128,GO:1901565,GO:0098662
DBSCAN,0.0,0.002350330352783203,47,GO:0051128,GO:1901565,GO:0098662
HDBSCAN,0.3166253138006512,0.00408172607421875,47,GO:0051128,GO:1901565,GO:0098662
K-Means,0.5394844853061894,0.009556293487548828,45,GO:0051128,GO:1901565,GO:0080135
Agglomerative,0.5394844853061894,0.0013151168823242188,45,GO:0051128,GO:1901565,GO:0080135
DBSCAN,0.0,0.002021312713623047,45,GO:0051128,GO:1901565,GO:0080135
HDBSCAN,0.0,0.0033953189849853516,45,GO:0051128,GO:1901565,GO:0080135
K-Means,0.03225993281593884,0.009563446044921875,49,GO:0051128,GO:1901565,GO:0006996
Agglomerative,0.5085653104925053,0.0013365745544433594,49,GO:0051128,GO:1901565,GO:0006996
DBSCAN,0.0,0.0020220279693603516,49,GO:0051128,GO:1901565,GO:0006996
HDBSCAN,0.0,0.0035414695739746094,49,GO:0051128,GO:1901565,GO:0006996
K-Means,0.5722740739016662,0.00958561897277832,47,GO:0051128,GO:0098662,GO:0080135
Agglomerative,0.5722740739016662,0.0013260841369628906,47,GO:0051128,GO:0098662,GO:0080135
DBSCAN,0.0,0.0020258426666259766,47,GO:0051128,GO:0098662,GO:0080135
HDBSCAN,0.20207742794635214,0.0035920143127441406,47,GO:0051128,GO:0098662,GO:0080135
K-Means,0.5001470155836518,0.009733438491821289,51,GO:0051128,GO:0098662,GO:0006996
Agglomerative,0.5400422055338764,0.0016515254974365234,51,GO:0051128,GO:0098662,GO:0006996
DBSCAN,0.0,0.0023660659790039062,51,GO:0051128,GO:0098662,GO:0006996
HDBSCAN,0.2839754066876644,0.004392862319946289,51,GO:0051128,GO:0098662,GO:0006996
K-Means,0.016955253286856365,0.009714365005493164,49,GO:0051128,GO:0080135,GO:0006996
Agglomerative,0.6024137460793673,0.001626729965209961,49,GO:0051128,GO:0080135,GO:0006996
DBSCAN,0.0,0.0023500919342041016,49,GO:0051128,GO:0080135,GO:0006996
HDBSCAN,0.0,0.0040018558502197266,49,GO:0051128,GO:0080135,GO:0006996
K-Means,0.5912034044774164,0.009737014770507812,62,GO:0042127,GO:0061024,GO:0006796
