Algorithm,ARI Score,Duration,Root1,Root2,Sample size
Agglomerative,1.0,0.003771066665649414,GO:0006790,GO:0010035,36
DBSCAN,0.0,0.03217506408691406,GO:0006790,GO:0010035,36
HDBSCAN,0.0,0.008856058120727539,GO:0006790,GO:0010035,36
K-Means,1.0,0.009936809539794922,GO:0006790,GO:0010033,45
Agglomerative,1.0,0.0008521080017089844,GO:0006790,GO:0010033,45
DBSCAN,0.0,0.014127969741821289,GO:0006790,GO:0010033,45
HDBSCAN,0.8062953995157385,0.001901865005493164,GO:0006790,GO:0010033,45
K-Means,1.0,0.009799957275390625,GO:0006790,GO:0051649,44
Agglomerative,1.0,0.000911712646484375,GO:0006790,GO:0051649,44
DBSCAN,0.0,0.0429990291595459,GO:0006790,GO:0051649,44
HDBSCAN,0.5785515717442441,0.009211301803588867,GO:0006790,GO:0051649,44
K-Means,0.9047301619001611,0.0322110652923584,GO:0033554,GO:0050793,42
Agglomerative,0.8141552807097067,0.0023238658905029297,GO:0033554,GO:0050793,42
DBSCAN,0.0,0.043473005294799805,GO:0033554,GO:0050793,42
HDBSCAN,0.0,0.0017809867858886719,GO:0033554,GO:0050793,42
K-Means,0.8368712273641851,0.018035888671875,GO:0033554,GO:0006810,48
Agglomerative,0.8368712273641851,0.0019681453704833984,GO:0033554,GO:0006810,48
DBSCAN,0.0,0.05670881271362305,GO:0033554,GO:0006810,48
HDBSCAN,0.3613505476719238,0.002276897430419922,GO:0033554,GO:0006810,48
K-Means,0.014226651118414079,0.012556076049804688,GO:0033554,GO:2000241,42
Agglomerative,0.9047301619001611,0.0037271976470947266,GO:0033554,GO:2000241,42
DBSCAN,0.0,0.057785749435424805,GO:0033554,GO:2000241,42
HDBSCAN,0.25401093483911447,0.0028600692749023438,GO:0033554,GO:2000241,42
K-Means,0.8973684210526316,0.010841131210327148,GO:0033554,GO:0042391,39
Agglomerative,1.0,0.0035178661346435547,GO:0033554,GO:0042391,39
DBSCAN,0.0,0.019149065017700195,GO:0033554,GO:0042391,39
HDBSCAN,0.5889005235602094,0.0050356388092041016,GO:0033554,GO:0042391,39
K-Means,-0.03472302868424109,0.00945591926574707,GO:0033554,GO:0045165,33
Agglomerative,0.8788017904280959,0.0007641315460205078,GO:0033554,GO:0045165,33
DBSCAN,0.0,0.05605816841125488,GO:0033554,GO:0045165,33
HDBSCAN,0.0,0.0027923583984375,GO:0033554,GO:0045165,33
K-Means,0.9362716763005781,0.12669801712036133,GO:0033554,GO:0030154,64
Agglomerative,0.7544816835541699,0.005640983581542969,GO:0033554,GO:0030154,64
DBSCAN,0.0,0.022057294845581055,GO:0033554,GO:0030154,64
HDBSCAN,0.3374375989285279,0.010818004608154297,GO:0033554,GO:0030154,64
K-Means,-0.01379895376784957,0.028532981872558594,GO:0033554,GO:0010035,38
Agglomerative,0.7011671544991923,0.009537935256958008,GO:0033554,GO:0010035,38
DBSCAN,0.0,0.0383915901184082,GO:0033554,GO:0010035,38
HDBSCAN,0.0,0.0017437934875488281,GO:0033554,GO:0010035,38
K-Means,-0.021991121341663925,0.05642199516296387,GO:0033554,GO:0010033,47
Agglomerative,0.9148944181445388,0.0012259483337402344,GO:0033554,GO:0010033,47
DBSCAN,0.0,0.030879974365234375,GO:0033554,GO:0010033,47
HDBSCAN,0.0,0.0034241676330566406,GO:0033554,GO:0010033,47
K-Means,0.6039553137278691,0.013112068176269531,GO:0033554,GO:0051649,46
Agglomerative,0.6039553137278691,0.0008580684661865234,GO:0033554,GO:0051649,46
DBSCAN,0.0,0.00738215446472168,GO:0033554,GO:0051649,46
HDBSCAN,0.12410211382721353,0.004153013229370117,GO:0033554,GO:0051649,46
K-Means,0.920002612159603,0.012935876846313477,GO:0050793,GO:0006810,50
Agglomerative,0.769777661668797,0.0033469200134277344,GO:0050793,GO:0006810,50
DBSCAN,0.0,0.03939199447631836,GO:0050793,GO:0006810,50
HDBSCAN,0.5927836496677787,0.005181074142456055,GO:0050793,GO:0006810,50
K-Means,0.8097742035261367,0.006672859191894531,GO:0050793,GO:0042391,41
Agglomerative,0.9023925723128199,0.00139617919921875,GO:0050793,GO:0042391,41
DBSCAN,0.0,0.01440882682800293,GO:0050793,GO:0042391,41
HDBSCAN,0.625170295657162,0.011426687240600586,GO:0050793,GO:0042391,41
K-Means,0.8856622883367622,0.01664280891418457,GO:0050793,GO:0045165,35
Agglomerative,0.8856622883367622,0.0016460418701171875,GO:0050793,GO:0045165,35
DBSCAN,0.0,0.03818011283874512,GO:0050793,GO:0045165,35
HDBSCAN,0.0,0.002034902572631836,GO:0050793,GO:0045165,35
K-Means,0.8789759503491078,0.05458807945251465,GO:0050793,GO:0030154,66
Agglomerative,0.7642999181190783,0.01505589485168457,GO:0050793,GO:0030154,66
DBSCAN,0.0,0.008723258972167969,GO:0050793,GO:0030154,66
HDBSCAN,0.0,0.0069849491119384766,GO:0050793,GO:0030154,66
K-Means,0.6306818181818182,0.007539033889770508,GO:0050793,GO:0010035,40
Agglomerative,1.0,0.002269268035888672,GO:0050793,GO:0010035,40
DBSCAN,0.0,0.06482982635498047,GO:0050793,GO:0010035,40
HDBSCAN,0.0,0.002251148223876953,GO:0050793,GO:0010035,40
K-Means,1.0,0.012764930725097656,GO:0050793,GO:0010033,49
Agglomerative,1.0,0.006779909133911133,GO:0050793,GO:0010033,49
DBSCAN,0.0,0.05449986457824707,GO:0050793,GO:0010033,49
HDBSCAN,0.0,0.0027511119842529297,GO:0050793,GO:0010033,49
K-Means,0.9166603787821626,0.007508039474487305,GO:0050793,GO:0051649,48
Agglomerative,0.8368466066307793,0.0015797615051269531,GO:0050793,GO:0051649,48
DBSCAN,0.0,0.035880088806152344,GO:0050793,GO:0051649,48
HDBSCAN,0.04947400135579603,0.003049135208129883,GO:0050793,GO:0051649,48
K-Means,1.0,0.013167858123779297,GO:0006810,GO:2000241,50
Agglomerative,1.0,0.002892017364501953,GO:0006810,GO:2000241,50
DBSCAN,0.0,0.04480409622192383,GO:0006810,GO:2000241,50
HDBSCAN,0.6255057891244825,0.002289295196533203,GO:0006810,GO:2000241,50
K-Means,1.0,0.03175783157348633,GO:0006810,GO:0042391,47
Agglomerative,0.8335141536071078,0.007409811019897461,GO:0006810,GO:0042391,47
