Algorithm,p_within,p_between,ARI,NMI
louvain,1.0,0.6,0.00036643459142543056,0.0019459160237758073
louvain,1.0,0.7,0.21389305347326337,0.14417185159704746
louvain,1.0,0.8,-0.006209114092471449,0.0004068994166345721
louvain,1.0,0.9,-0.015365495424245848,0.003926535235299186
louvain,1.0,1.0,0.0,0.0
girvan_newman,0.1,0.1,-0.016614745586708203,0.005558872626320696
girvan_newman,0.2,0.1,0.14953271028037382,0.12329673097780551
girvan_newman,0.2,0.2,-0.016614745586708203,0.005558872626320696
girvan_newman,0.3,0.1,0.14953271028037382,0.12329673097780551
girvan_newman,0.3,0.2,0.14953271028037382,0.12329673097780551
girvan_newman,0.3,0.3,-0.016614745586708203,0.005558872626320696
girvan_newman,0.4,0.1,0.14953271028037382,0.12329673097780551
girvan_newman,0.4,0.2,0.14953271028037382,0.12329673097780551
girvan_newman,0.4,0.3,0.14953271028037382,0.12329673097780551
girvan_newman,0.4,0.4,-0.016614745586708203,0.005558872626320696
girvan_newman,0.5,0.1,0.14953271028037382,0.12329673097780551
girvan_newman,0.5,0.2,0.14953271028037382,0.12329673097780551
girvan_newman,0.5,0.3,0.14953271028037382,0.12329673097780551
girvan_newman,0.5,0.4,0.14953271028037382,0.12329673097780551
girvan_newman,0.5,0.5,-0.016614745586708203,0.005558872626320696
girvan_newman,0.6,0.1,0.14953271028037382,0.12329673097780551
girvan_newman,0.6,0.2,0.14953271028037382,0.12329673097780551
girvan_newman,0.6,0.3,0.14953271028037382,0.12329673097780551
girvan_newman,0.6,0.4,0.14953271028037382,0.12329673097780551
girvan_newman,0.6,0.5,-0.016614745586708203,0.005558872626320696
girvan_newman,0.6,0.6,-0.016614745586708203,0.005558872626320696
girvan_newman,0.7,0.1,0.14953271028037382,0.12329673097780551
girvan_newman,0.7,0.2,0.14953271028037382,0.12329673097780551
girvan_newman,0.7,0.3,0.14953271028037382,0.12329673097780551
girvan_newman,0.7,0.4,0.14953271028037382,0.12329673097780551
girvan_newman,0.7,0.5,0.14953271028037382,0.12329673097780551
girvan_newman,0.7,0.6,0.14953271028037382,0.12329673097780551
girvan_newman,0.7,0.7,-0.016614745586708203,0.005558872626320696
girvan_newman,0.8,0.1,0.14953271028037382,0.12329673097780551
