p_within,p_between,node,connection
0.2,0.1,9.0,0.1
0.2,0.1,10.0,0.16363636363636364
0.2,0.1,11.0,0.07352941176470588
0.2,0.1,12.0,0.07272727272727272
0.2,0.1,13.0,0.2
0.2,0.1,14.0,0.15384615384615385
0.2,0.1,15.0,0.14761904761904762
0.2,0.1,16.0,0.15
0.2,0.1,17.0,0.14619883040935672
0.2,0.1,18.0,0.14285714285714285
0.2,0.1,19.0,0.15384615384615385
0.2,0.1,20.0,0.10989010989010989
0.2,0.1,21.0,0.16483516483516483
0.2,0.1,22.0,0.0761904761904762
0.2,0.1,23.0,0.08974358974358974
0.2,0.1,24.0,0.3611111111111111
0.2,0.1,25.0,0.1282051282051282
0.2,0.1,26.0,0.15151515151515152
0.2,0.1,27.0,0.10256410256410256
0.2,0.1,28.0,0.13333333333333333
0.2,0.1,29.0,0.13186813186813187
0.2,0.1,30.0,0.13157894736842105
0.2,0.1,31.0,0.3333333333333333
0.2,0.1,32.0,0.14285714285714285
0.2,0.1,33.0,0.19696969696969696
0.2,0.1,34.0,0.14285714285714285
0.2,0.1,35.0,0.17647058823529413
0.2,0.1,36.0,0.16666666666666666
0.2,0.1,37.0,0.13333333333333333
0.2,0.1,38.0,0.15263157894736842
0.2,0.1,39.0,0.14705882352941177
0.2,0.1,40.0,0.13333333333333333
0.2,0.1,41.0,0.1111111111111111
0.2,0.1,42.0,0.09803921568627451
0.2,0.1,43.0,0.14285714285714285
0.2,0.1,44.0,0.2
0.2,0.1,45.0,0.08974358974358974
0.2,0.1,46.0,0.14102564102564102
0.2,0.1,47.0,0.05555555555555555
0.2,0.1,48.0,0.16666666666666666
0.2,0.1,49.0,0.10909090909090909
0.2,0.1,50.0,0.13970588235294118
0.2,0.1,51.0,0.15
0.2,0.1,52.0,0.14545454545454545
0.2,0.1,53.0,0.15384615384615385
0.2,0.1,54.0,0.16176470588235295
0.2,0.1,55.0,0.18181818181818182
0.2,0.1,56.0,0.13405797101449277
0.2,0.1,57.0,0.22727272727272727
0.2,0.1,58.0,0.16666666666666666
0.2,0.1,59.0,0.13186813186813187
0.2,0.1,60.0,0.18181818181818182
0.2,0.1,61.0,0.11764705882352941
0.2,0.1,62.0,0.12087912087912088
0.2,0.1,63.0,0.13186813186813187
0.2,0.1,64.0,0.12418300653594772
0.2,0.1,65.0,0.16363636363636364
0.2,0.1,66.0,0.16666666666666666
0.2,0.1,67.0,0.11538461538461539
0.2,0.1,68.0,0.09090909090909091
0.2,0.1,69.0,0.12727272727272726
0.2,0.1,70.0,0.07692307692307693
0.2,0.1,71.0,0.21428571428571427
0.2,0.1,72.0,0.1225296442687747
0.2,0.1,73.0,0.15
0.2,0.1,74.0,0.15384615384615385
0.2,0.1,75.0,0.13450292397660818
0.2,0.1,76.0,0.08888888888888889
0.2,0.1,77.0,0.06666666666666667
0.2,0.1,78.0,0.15714285714285714
0.2,0.1,79.0,0.16483516483516483
0.2,0.1,80.0,0.125
0.2,0.1,81.0,0.12121212121212122
0.2,0.1,82.0,0.1619047619047619
0.2,0.1,83.0,0.09090909090909091
0.2,0.1,84.0,0.18181818181818182
0.2,0.1,85.0,0.14545454545454545
0.2,0.1,86.0,0.1523809523809524
0.2,0.1,87.0,0.11538461538461539
0.2,0.1,88.0,0.16666666666666666
0.2,0.1,89.0,0.13333333333333333
0.2,0.1,90.0,0.14102564102564102
0.2,0.1,91.0,0.2015810276679842
0.2,0.1,92.0,0.16666666666666666
0.2,0.1,93.0,0.20512820512820512
0.2,0.1,94.0,0.10256410256410256
0.2,0.1,95.0,0.08571428571428572
0.2,0.1,96.0,0.18681318681318682
0.2,0.1,97.0,0.12121212121212122
0.2,0.1,98.0,0.1282051282051282
0.2,0.1,99.0,0.25
0.2,0.2,0.0,0.19473684210526315
0.2,0.2,1.0,0.1736842105263158
0.2,0.2,2.0,0.15789473684210525
0.2,0.2,3.0,0.21333333333333335
0.2,0.2,4.0,0.15204678362573099
0.2,0.2,5.0,0.21323529411764705
0.2,0.2,6.0,0.17543859649122806
